#N Time Angle(rd) Wz(rd/s)
159 91937394 0.30338 0.386274
160 92560569 0.326827 0.416128
161 93194149 0.272694 0.347204
162 93851690 0.12644 0.160989
163 94536795 -0.121143 -0.154244
164 95019351 -0.224235 -0.285504
165 95515695 -0.27234 -0.346754
166 96021976 -0.242819 -0.309166
167 96539901 -0.2595 -0.330405
168 97238781 -0.190923 -0.24309
169 97948901 -0.159023 -0.202474
170 98630671 0 0
171 99298669 0 0
172 99983964 0 0
173 100670195 0.027266 0.034716
174 101332156 0 0
175 102014830 0 0
176 102690314 -0.00917405 -0.0116807
177 103361798 0.0176973 0.0225328
178 103972033 -0.00934552 -0.0118991
179 104567219 0.0347686 0.0442686
180 105196836 -0.0178552 -0.022734
181 105845924 -0.103972 -0.13238
182 106496103 -0.046695 -0.0594538
183 107147619 0.00980361 0.0124823
184 107813637 0.175177 0.223042
185 108549402 0.297232 0.378447
186 109235232 0.691921 0.88098
187 109923154 0.768451 0.978419
188 110618628 0.778947 0.991783
189 111310355 0.474028 0.60355
190 111996393 0.415714 0.529302
191 112706203 0.364735 0.464394
192 113244304 0.40386 0.514209
193 113987192 0.44926 0.572014
194 114702228 0.282809 0.360083
195 115394404 0.264817 0.337175
196 115995789 0.202541 0.257883
197 116539910 0.0838366 0.106744
198 116951503 0.0658388 0.0838283
199 117449650 0.0607946 0.0774059
200 117845112 0.0277706 0.0353586
201 118295107 0.0170924 0.0217626
202 118729032 0.0363476 0.0462791
203 119195175 0.0347686 0.0442686
204 119730808 0.0265424 0.0337948
205 120232253 -3.82686e-05 -4.8725e-05
206 120718174 0.0267793 0.0340964
207 121170222 0.0624188 0.0794739
208 121621005 0.0430768 0.0548469
209 122115511 0.0454233 0.0578346
210 122570417 0.0196053 0.0249622
211 123104327 0.027266 0.034716
212 123690107 0.0282943 0.0360254
213 124146836 0.0867383 0.110438
214 124667231 0.00862048 0.0109759
215 125187578 0 0
216 125679227 -0.0446132 -0.0568032
217 126107877 -0.0576284 -0.0733746
218 126593306 -0.095362 -0.121418
219 127059129 -0.159647 -0.203268
220 127560634 -0.2595 -0.330405
221 128052468 -0.420663 -0.535604
222 128543202 -0.660371 -0.840808
223 129145293 -0.832981 -1.06058
224 129651402 -1.00699 -1.28214
225 130218534 -1.02323 -1.30282
226 130936107 -1.11965 -1.42558
227 131638788 -1.046 -1.33181
228 132344885 -0.59666 -0.75969
229 132942167 -0.0859943 -0.109491
230 133464905 0.364331 0.46388
231 134101209 0.627743 0.799266
232 134667006 0.785398 0.999998
233 135253288 0.732815 0.933047
234 135828025 0.666787 0.848977
235 136311349 0.385157 0.490397
236 136863470 0.123266 0.156946
237 137459519 -0.155262 -0.197685
238 138107191 -0.310387 -0.395197
239 138783964 -0.354706 -0.451624
240 139466293 -0.477584 -0.608077
241 140147872 -0.415714 -0.529302
242 140780981 -0.333244 -0.424299
243 141422289 -0.364735 -0.464394

