#N Time vx wz 
355 180000 0 0
356 180000 0 0
357 180000 0 0
358 180000 0 0
359 180000 0 0
360 190000 0 0
361 190000 0 0
362 190000 0 0
363 190000 0 0
364 190000 0 0
365 190000 0 0
366 190000 0 0
367 190000 0 0
368 190000 0 0
369 190000 0 0
370 190000 0 0
371 190000 0 0
372 190000 0 0
373 190000 0 0
374 190000 0 0
375 190000 0 0
376 190000 0 0
377 190000 0 0
378 190000 0 0
379 190000 0 0
380 190000 0 0
381 190000 0 0
382 200000 0 0
383 200000 0 0
384 200000 0 0
385 200000 0 0
386 200000 0 0
387 200000 0 0
388 200000 0 0
389 200000 0 0
390 200000 0 0
391 200000 0 0
392 200000 0 0
393 200000 0 0
394 200000 0 0
395 200000 0 0.1
396 200000 0 0.2
397 200000 0 0.3
398 200000 0 0.4
399 200000 0 0.5
400 200000 0 0.6
401 200000 0 0.7
402 200000 0 0.8
403 200000 0 0.9
404 200000 0 1
405 210000 0 1
406 210000 0 1
407 210000 0 1
408 210000 0 1
409 210000 0 1
410 210000 0 1
411 210000 0 1
412 210000 0 1
413 210000 0 1
414 210000 0 1
415 210000 0 1
416 210000 0 1
417 210000 0 1
418 210000 0 1
419 210000 0 1
420 210000 0 1
421 210000 0 1
422 210000 0 1
423 210000 0 1
424 210000 0 1
425 210000 0 1
426 210000 0 1
427 210000 0 1
428 210000 0 1
429 210000 0 1
430 210000 0 1
431 210000 0 1
432 210000 0 1
433 210000 0 1
434 210000 0 1
435 210000 0 1
436 210000 0 1
437 210000 0 1
438 210000 0 1
439 210000 0 1
440 220000 0 1
441 220000 0 1
442 220000 0 1
443 220000 0 1
444 220000 0 1
445 220000 0 1
446 220000 0 1
447 220000 0 1
448 220000 0 1
449 220000 0 1
450 220000 0 1
451 220000 0 1
452 220000 0 1
453 220000 0 1
454 220000 0 1
455 220000 0 1
456 220000 0 1
457 220000 0 1
458 220000 0 1
459 220000 0 1
460 220000 0 1
461 220000 0 1
462 220000 0 1
463 220000 0 1
464 220000 0 1
465 220000 0 1
466 220000 0 1
467 220000 0 1
468 220000 0 1
469 220000 0 1
470 230000 0 1
471 230000 0 1
472 230000 0 1
473 230000 0.02 0.9
474 230000 0.04 0.8
475 230000 0.06 0.7
476 230000 0.08 0.6
477 230000 0.1 0.5
478 230000 0.12 0.4
479 230000 0.14 0.3
480 230000 0.16 0.2
481 230000 0.18 0.1
482 230000 0.2 1.38778e-16
483 230000 0.2 0
484 230000 0.2 0
485 230000 0.2 0
486 230000 0.2 0
487 230000 0.2 0
488 230000 0.2 0
489 230000 0.2 0
490 230000 0.2 0
491 230000 0.2 0
492 230000 0.2 0
493 230000 0.2 0
494 230000 0.2 0
495 230000 0.2 0
496 230000 0.2 0
497 230000 0.2 0
498 230000 0.2 0
499 230000 0.2 0
500 240000 0.2 0
501 240000 0.2 0
502 240000 0.2 0
503 240000 0.2 0
504 240000 0.2 0
505 240000 0.2 0
506 240000 0.2 0
507 240000 0.2 0
508 240000 0.2 0
509 240000 0.2 0
510 240000 0.2 0
511 240000 0.2 0
512 240000 0.2 0
513 240000 0.2 0
514 240000 0.2 0
515 240000 0.2 0
516 240000 0.2 0
517 240000 0.2 0
518 240000 0.2 0
519 240000 0.2 0
520 240000 0.2 0
521 240000 0.2 0
522 240000 0.2 0
523 240000 0.2 0
524 240000 0.2 0
525 240000 0.2 0
526 240000 0.2 0
527 240000 0.2 0
528 240000 0.2 0
529 240000 0.2 0
530 240000 0.2 0
531 240000 0.2 0
532 240000 0.2 0
533 240000 0.2 0
534 240000 0.2 0
535 240000 0.2 0
536 240000 0.2 0
537 250000 0.2 0
538 250000 0.2 0
539 250000 0.2 0
540 250000 0.2 0
541 250000 0.2 0
542 250000 0.2 0
543 250000 0.2 0
544 250000 0.2 0
545 250000 0.2 0
546 250000 0.2 0
547 250000 0.2 0
548 260000 0.2 0
549 260000 0.2 0
550 260000 0.2 0
551 260000 0.2 0
552 260000 0.2 0
553 260000 0.2 0
554 260000 0.2 0
555 260000 0.2 0
556 260000 0.2 0
557 260000 0.2 0
558 260000 0.2 0
559 260000 0.2 0
560 260000 0.2 0
561 260000 0.2 0
562 260000 0.2 0
563 260000 0.2 0
564 260000 0.2 0
565 260000 0.2 0
