#N Time vx wz 
154 90419677 0.0814286 0.107493
155 90985842 0.0121429 0.0240355
156 91624162 -0.0207143 0
157 92275888 -0.025 0
158 92899513 -0.025 0
159 93414244 -0.0242857 -0.0124996
160 94112796 -0.0257143 -0.0121355
161 94834473 -0.0314286 0
162 95611159 -0.0357143 0
163 96373590 -0.0328571 -0.0340825
164 96946535 -0.0357143 -0.0227248
165 97674125 -0.035 -0.0875757
166 98426389 0.00285714 -0.110332
167 99100388 -0.0335714 -0.454514
168 99831385 0.0357143 -0.625835
169 100545947 0.0607143 -0.631976
170 101246432 0.0464286 -0.617427
171 101911242 0.00785714 -0.541977
172 102528160 -0.0164286 -0.344757
173 103085679 -0.0321429 -0.382349
174 103568861 -0.0307143 -0.233724
175 104060138 -0.0357143 -0.170503
176 104551426 -0.0335714 -0.169886
177 105030561 -0.0357143 -0.148865
178 105534209 -0.0342857 -0.119203
179 106054243 -0.0342857 -0.042001
180 106590034 -0.02 -0.053846
181 107146890 -0.0335714 -0.0434607
182 107691438 -0.03 -0.0110617
183 108242333 -0.0257143 0.0249967
184 108788900 -0.0235714 0
185 109325783 -0.0178571 0.0347133
186 109804380 -0.0178571 0
187 110349777 -0.0178571 0.0126258
188 110889938 -0.0157143 0.0317728
189 111454014 -0.0107143 0.0115737
190 112005882 -0.0107143 0
191 112556507 -0.00285714 0
192 113114692 -0.00642857 0.0663094
193 113680777 -0.005 0.0438417
194 114243257 -0.00214286 0.0651583
195 114787603 -0.00428571 0.0651583
196 115351605 -0.00285714 0.0657288
197 115923528 -0.00142857 0.0120189
198 116390455 -0.00214286 0.0350376
199 116935315 -0.00357143 0.0114676
200 117482805 -0.000714286 0.034395
201 118033640 -0 0.0320443
202 118559719 0.0142857 0.0635046
203 119129146 -0.00142857 0.0669003
204 119697896 -0.00214286 0.0635046
205 120255855 -0 0
206 120801630 0.0135714 0.0423567
207 121356944 0.0135714 0.0657288
208 121946338 -0.00214286 0.0780235
209 122491641 0.0135714 0.0675019
210 123031262 -0.00214286 0.0117921
211 123561165 -0.00214286 0
212 124101539 0.015 0.0255067
213 124625159 -0.00357143 0
214 125164425 -0.000714286 0.0663094
215 125697347 0.0157143 0.0116819
216 126270651 -0.00214286 0.0669003
217 126811658 -0 0.0759932
218 127399218 0.0164286 0.0552737
219 128057415 -0.00285714 0.0215496
220 128631995 -0.00214286 0.0635046
221 129176962 0.0528571 0.0746973
