N Time vx wz 
187 105698381 0.0678571 0.729695
188 106394868 -0.0192857 0.333719
189 107065744 -0.0257143 0.0976271
190 107617456 -0.0271429 0.0883482
191 108314738 -0.0257143 0.0122545
192 108901338 -0.0164286 0.0113633
193 109498179 -0.02 0.0221216
194 110207733 -0.0142857 0.0471474
195 110920880 -0.0164286 0.0110617
196 111611285 -0.0185714 0.0109646
197 112147740 -0.0128571 0
198 112851577 -0.00214286 0
199 113379850 -0.0185714 0.0115737
200 114080943 -0.0157143 0
201 114746194 -0.0214286 0
202 115273016 -0.0178571 0.0111604
203 115857631 -0.0185714 0
204 116562985 -0.0192857 0.0219276
205 117247821 -0.0178571 0
206 117964972 -0.005 0
207 118699643 -0.0164286 0.011261
208 119303992 -0.0114286 0
209 120006904 -0.02 0
210 120722023 -0.0135714 -0.0108693
211 121330436 -0.02 0
212 122042254 -0.0192857 0.0123758
213 122645046 -0.0171429 0.0334741
214 123366854 -0.0164286 0
215 123941287 -0.0121429 0.0106835
216 124496226 -0.0114286 0
217 125057542 -0.015 -0.0126258
218 125630540 -0.015 0
219 126280236 -0.00714286 0.0109646
220 126807167 0.00785714 -0.033178
221 127526007 0.0585714 -0.636738
222 128267571 0.0528571 -0.666055
223 128822599 0.0721429 -0.710656
224 129538701 0.055 -0.701228
225 130271659 0.005 -0.565192
226 130620397 -0.0121429 -0.49426
227 131289328 -0.0214286 -0.452162
228 131879194 -0.0285714 -0.372353
229 132428593 -0.0164286 -0.294886
230 132961806 -0.0221429 -0.287608
231 133468409 -0.015 -0.30878
232 133986804 -0.0321429 -0.295697
233 134522591 -0.0285714 -0.246744
234 135098635 -0.0307143 -0.163534
235 135664764 0.0135714 -0.18504
236 136241759 -0.0257143 -0.120242
237 136767940 0.015 -0.0746973
238 137370817 -0.0335714 -0.0773348
239 137996425 -0.00857143 -0.0119044
240 138587899 -0.0142857 -0.0454345
241 139176897 -0.0321429 -0.0240355
242 139780878 -0.0242857 -0.0122545
243 140389873 -0.0107143 -0.0640465
244 140985687 -0.0178571 -0.0454345
245 141614896 -0.0278571 -0.0219276
246 142189137 -0.025 -0.0328871
247 142814412 -0.00857143 -0.0255067
248 143403883 -0.0178571 -0.0323204
249 143963752 -0.0242857 -0.0215496
250 144556381 -0.0235714 0
251 145105017 -0.00785714 0.0114676
252 145663157 -0.0135714 0
253 146242262 -0.0107143 0.0108693
254 146808071 -0.00785714 -0.0247492
255 147381072 -0.00785714 0
256 147944764 -0.00714286 -0.0485193
257 148506970 -0.00357143 -0.0117921
258 149063938 -0.005 -0.0225201
259 149662514 -0.00714286 0
260 150211898 -0.00571429 0
261 150789702 0.005 0
262 151374008 -0.00285714 -0.0107756
263 151999041 0.00928571 0
264 152600219 0.005 0.0108693
265 153175215 0.00642857 0
266 153757908 -0.00642857 0
267 154319535 0.0135714 -0.0119044
268 154896716 0.00428571 -0.0211844
269 155506918 0.00357143 0.0110617
270 156083898 0.00714286 0
271 156620771 0.055 0.0110617
272 157156418 0.005 0.0326013
273 157698293 -0.00357143 0
274 158254536 -0.00857143 0
275 158794300 0.015 -0.0219276
276 159383966 0.0771429 0
277 159973515 0.225 0.0959649
278 160545002 0.158571 0.0814065
279 161161637 0.138571 0.0113633
280 161744152 0.0678571 0
281 162309438 0.0564286 -0.0562683
282 162881337 0.015 0
283 163444498 0.00785714 0
284 164085394 -0.00357143 -0.0111604
285 164674119 -0.00428571 0
286 165275316 -0.00714286 0
287 165873450 -0.00642857 -0.0350376
288 166496075 -0.00714286 -0.0106835
289 167130848 -0.00571429 0
290 167757220 -0.00714286 0
291 168325594 -0.00714286 -0.0211844
292 168944430 -0.00714286 0
293 169541918 -0.00571429 0
294 170129058 -0.00857143 0
295 170761282 -0.00857143 -0.0225201
296 171354921 -0.00857143 -0.010504
297 171930505 -0.00642857 0
298 172552774 -0.00357143 0
299 173167758 0.0628571 -0.0572993
300 173808719 0.169286 -0.168464
301 174416265 0.160714 -0.128412
302 175030956 0.139286 -0.0959649
303 175646477 0.0871429 0.0114676
304 176309447 0.0578571 0.0543136
305 176947389 0.215714 0.0572993
306 177565959 0.216429 0.0552737
307 178201474 0.215714 0.0347133
308 178817728 -0.0235714 0.0984799
309 179411105 -0.0107143 0.053846
310 179977791 -0.0171429 0.0669003
311 180535493 -0.0221429 0.0238066
312 181081324 -0.025 0.0853373
313 181653436 -0.0242857 0.0640465
314 182214903 -0.0114286 0.0645976
315 182799926 -0.0235714 0.0547894
316 183371505 -0.0271429 0.0227248
317 183958292 -0.0207143 0.0114676
318 184500040 -0.0285714 0.0430864
319 185051315 -0.00714286 0.0122545
320 185623426 -0.0271429 0.033178
321 186206092 -0.0114286 0.0225201
322 186793898 -0.0185714 0.0110617
323 187376181 -0.0271429 0.0860706
324 187968814 -0.0264286 0
325 188554944 -0.0235714 0.0612255
326 189149280 -0.0207143 0.0340825
327 189745506 -0.00214286 0
328 190326435 -0.0242857 0.0109646
329 190920809 -0.0235714 0
330 191501528 -0.0228571 -0.0328871
331 192080026 -0.0185714 0
332 192686573 -0.0335714 -0.0221216
333 193253437 -0.0292857 -0.0462751
334 193864954 -0.0307143 -0.0221216
335 194439721 -0.0314286 0.0113633
336 195040334 -0.0278571 -0.0326013
337 195596844 -0.0285714 0
338 196187489 -0.0357143 -0.0320443
339 196785774 -0.02 -0.0489945
340 197405029 -0.015 0
341 198016280 -0.0107143 -0.0113633
342 198611424 -0.00428571 -0.0446239
343 199207259 -0.00357143 -0.0221216
344 199862325 -0.00214286 -0.0109646
345 200459637 -0.00142857 0
346 201088761 -0 -0.0106835
347 201723848 -0.00285714 0
348 202336609 -0.00285714 -0.053846
349 202951998 -0 -0.0111604
350 203549536 -0 -0.0108693
351 204186724 0.00142857 -0.0430864
352 204814080 -0.000714286 -0.0427184
353 205434286 -0.00142857 -0.0860706
354 206024162 -0.00357143 -0.0427184
355 206634680 -0.00214286 -0.0675019
356 207258137 0.00142857 -0.0794383
357 207877394 -0 0
358 208456008 -0.00285714 -0.010593
359 209064901 -0.00142857 -0.0111604
360 209688712 -0.00142857 -0.0681143
361 210256989 0.000714286 -0.045851
362 210873808 -0.000714286 -0.0766581
363 211478056 -0.00142857 -0.0427184
364 212091215 -0 -0.0317728
