N Time vx wz 
156 87907915 -0.0307143 0.117177
157 88488051 -0.0314286 0.106579
158 89061045 0.0271429 0.0740657
159 89575292 -0.0278571 0.0663094
160 90116777 -0.0257143 0.0875757
161 90688197 -0.0171429 0.0337756
162 91233391 0.00285714 0.0255067
163 91763746 0.171429 0.0363975
164 92276897 -0.0257143 0.0669003
165 92794488 -0.0271429 0.0663094
166 93320597 -0.0178571 0.0111604
167 93852080 -0.0235714 -0.239377
168 94377240 -0.0192857 0.0235821
169 94924261 -0.0292857 0.045851
170 95478054 0.234286 0.0549097
171 96019830 0.005 0.0675019
172 96555605 -0.00285714 0.0450256
173 97115972 -0.000714286 -0.643064
174 97623788 0.0171429 0.0787246
175 98139119 -0.02 0.114359
176 98663034 -0.0164286 0.0984799
177 99222868 -0.0178571 -0.278789
178 99740037 -0.025 0.0984799
179 100252081 0.00214286 0.0681143
180 100778452 0.0628571 0.126683
181 101307625 -0.015 0.0669003
182 101870926 0.0328571 -0.20833
183 102441659 0.00142857 0.0959649
184 103023900 0.02 0.0846163
185 103563253 0.222143 -0.11869
186 104092729 0.00357143 -0.153978
187 104631403 -0.0128571 0.0801651
188 105178700 0.0171429 0.164144
189 105688396 0.0257143 0.0515172
190 106215818 0.0185714 0.139604
191 106773194 0.03 -0.165689
192 107302326 0.0285714 0.118181
193 107890849 0.0192857 0.084821
194 108420551 0.0242857 -0.249301
195 108947052 0.0307143 0.107493
196 109466653 0.0185714 0.121299
197 109996907 0.0278571 -0.222616
198 110542307 0.00357143 -0.614761
199 111098848 0.0107143 -0.317093
200 111610204 0.02 0.0993478
201 112171651 -0.0185714 0.0941611
202 112705661 -0.0214286 0.119203
203 113253518 -0.0285714 0.0868167
204 113778010 -0.0214286 0.110009
205 114322376 -0.0257143 0.122375
206 114863642 0.217857 0.120242
207 115373339 -0.0228571 0.0753397
208 115836602 -0.0185714 0.0589186
209 116330916 0.216429 0.0323204
210 116855724 -0.0207143 0.0240355
211 117345358 0.00571429 0
212 117786994 -0.0221429 -0.0398801
213 118274548 0.00142857 -0.166533
214 118784713 0.168571 0
215 119293830 -0.0135714 -0.235922
216 119853763 0.23 0.0416512
217 120320684 0.00285714 -1.0531
218 120834693 -0.00785714 -0.458967
219 121442104 0.153571 -0.25191
220 122064672 -0.0192857 0.108947
221 122648583 -0.0178571 0.150136
222 122995018 -0.035 0.148865
223 123349593 -0.0335714 0.147615
224 123705559 -0.02 0.159387
225 124307490 -0.0328571 0.164965
226 124809108 -0.03 0.0651583
227 125414557 -0.0257143 0.0846163
228 125996165 -0.0114286 0.011261
229 126575905 -0.0192857 -0.010593
230 127109565 -0.0264286 0
231 127644477 -0.0292857 -0.0337756
232 128129998 -0.00785714 -0.0350376
233 128629384 -0.0278571 0
234 129147790 -0.0314286 0
235 129762933 -0.0207143 0.0128861
236 130360803 -0.0328571 0.0326013
237 131012182 -0.0328571 0.0993478
238 131651974 -0.0314286 0.0984799
239 132263452 -0.03 0.215722
240 132889652 -0.0314286 0.395875
241 133507829 -0.0342857 0.339244
242 134132828 -0.00928571 0.292179
243 134746439 0.0192857 0.596394
244 135315467 0.0721429 0.473539
245 135868762 0.0928572 0.548574
246 136405188 0.235 0.48756
247 136960106 0.0764286 0.781459
248 137538804 0.0657143 0.702116
249 138117078 0.0392857 0.552488
250 138680314 0.0485714 0.346451
251 139179966 0.00142857 0.20987
252 139733283 0.005 0.0489945
253 140306837 -0.0228571 0.0221216
254 140854321 -0.0207143 0.0121355
255 141418381 -0.00571429 -0.108423
256 142006680 -0.0221429 -0.0242688
257 142544952 -0.0171429 0.0114676
258 143177858 -0.0214286 -0.187964
259 143816836 -0.0335714 0.155444
260 144468951 -0.0257143 0.314305
261 145122676 0.11 0.645043
262 145764427 0.261429 1.14475
263 146416954 0.000714286 -0.181302
264 147049157 0.0578571 0.724259
265 147655230 -0.0171429 0.0215496
266 148268475 0.00285714 -0.180552
267 148870417 0.04 -0.114359
268 149504853 0.0857143 -0.495763
269 150085318 0.104286 -0.832933
270 150757091 0.16 -0.760112
271 151433492 0.23 0.202297
272 151981900 0.143571 0.237017
273 152621357 0.0978571 0.555053
274 153243672 0.0457143 0.483243
275 153845585 0.00142857 0.461078
276 154475637 -0.000714286 0.19919
277 155073005 0.00142857 0.112309
278 155674773 -0.0185714 0.147045
279 156289293 -0.0221429 0.0681143
280 156886532 -0.02 0.0547894
281 157519324 -0.025 0.0328871
282 158137172 -0.0221429 0
283 158747566 -0.0135714 0.0131574
284 159370570 0.00928571 0.0140444
285 159985523 -0.00642857 0.0123758
286 160617570 -0.00642857 -0.0115737
287 161243112 -0.00357143 0
288 161838159 -0.0157143 -0.011261
289 162450380 -0.01 -0.0612255
290 163078057 -0.005 -0.0247492
291 163715204 -0.0114286 0
292 164340594 -0.0142857 -0.068738
293 164950834 -0.01 0
294 165676514 -0.005 0.0122545
295 166389448 -0.0142857 0
