N Angle(rd) Wz(rd/s)
236 0.232557 0.2961
237 0.26551 0.338057
238 0.31128 0.396333
239 0.389709 0.496191
240 0.380506 0.484475
241 0.365425 0.465272
242 0.329423 0.419433
243 0.27596 0.351363
244 0.324403 0.413042
245 0.372988 0.474902
246 0.242819 0.309166
247 0.342473 0.436049
248 0.339743 0.432574
249 0.337456 0.429661
250 0.357817 0.455586
251 0.354986 0.451982
252 0.354986 0.451982
253 0.35299 0.44944
254 0.555494 0.707275
255 0.679005 0.864534
256 0.850056 1.08232
257 0.91223 1.16149
258 0.904827 1.15206
259 0.879712 1.12008
260 0.791459 1.00771
261 0.779748 0.992804
262 0.595785 0.758575
263 0.349451 0.444934
264 0.0794782 0.101195
265 -0.120109 -0.152927
266 -0.459902 -0.585564
267 -0.569057 -0.724545
268 -0.564994 -0.719371
269 -0.563316 -0.717235
270 -0.487698 -0.620955
271 -0.177596 -0.226122
272 -0.0635507 -0.080915
273 0.211731 0.269584
274 0.334737 0.426199
275 0.238609 0.303806
276 0.365921 0.465904
277 0.281772 0.358762
278 0.287463 0.366009
279 0.189021 0.240668
280 0.0970394 0.123554
281 0.131972 0.168031
282 -0.0508037 -0.0646851
283 -0.0350733 -0.0446566
284 -0.0530475 -0.0675421
285 -0.095362 -0.121418
286 -0.103082 -0.131247
287 -0.140658 -0.179091
288 -0.103082 -0.131247
289 -0.130827 -0.166574
290 -0.105798 -0.134706
291 -0.121143 -0.154244
292 -0.103082 -0.131247
293 -0.134321 -0.171023
294 -0.121143 -0.154244
295 -0.095362 -0.121418
296 -0.103082 -0.131247
297 -0.123266 -0.156946
298 -0.119092 -0.151632
299 -0.102207 -0.130133

